,Pokemon,Annotator,Annotation,baseline_preds,V1_preds,V2_preds,V3_preds,V4_preds,baseline,V1,V2,V3,V4
10,Lokix,Meg, it is a metal godzilla-like creature with red mole-appearing hands,"['Pignite', 'Kommo-o', 'Electabuzz']","['Steelix', 'Mimikyu', 'Aron']","['Haxorus', 'Wurmple', 'Gurdurr']","['Haxorus', 'Chewtle', 'Scrafty']","['Kleavor', 'Haxorus', 'Avalugg']",0,0,0,0,0
11,Pinsir,Meg, it is a beetle creature with spikes and a large vertical mouth,"['Gulpin', 'Nidorino', 'Togekiss']","['Sandslash', 'Swinub', 'Paras']","['Sandslash', 'Hippowdon', 'Nidorino']","['Palpitoad', 'Hippowdon', 'Clauncher']","['Yungoos', 'Fraxure', 'Tyrunt']",0,0,0,0,0
12,Chinchou,Meg,"it is a small, round fish with light-up antennae and crosses in its eyes","['Clawitzer', 'Anorith', 'Kangaskhan']","['Masquerain', 'Spearow', 'Butterfree']","['Masquerain', 'Chinchou', 'Fearow']","['Pelipper', 'Masquerain', 'Chinchou']","['Dragalge', 'Dhelmise', 'Rookidee']",0,0,1,1,0
13,Makuhita,Meg, a cross between a sumo wrestler and a stuffed-animal bunny ,"['Poliwrath', 'Tentacruel', 'Muk']","['Claydol', 'Zapdos', 'Banette']","['Banette', 'Mimikyu', 'Urshifu Single Strike Style']","['Bewear', 'Chewtle', 'Scraggy']","['Diggersby', 'Thwackey', 'Chesnaught']",0,0,0,0,0
14,Skarmory,Meg,it is a metal pterodactyl with red wings divided into segments,"['Garganacl', 'Altaria', 'Aggron']","['Aerodactyl', 'Omanyte', 'Unown']","['Aerodactyl', 'Omanyte', 'Arceus']","['Aerodactyl', 'Zapdos', 'Moltres']","['Aerodactyl', 'Tyrantrum', 'Zapdos']",0,0,0,0,0
15,Shuppet,Meg,it is a blue ghost that looks like a puppet,"['Growlithe', 'Joltik', 'Feraligatr']","['Banette', 'Baltoy', 'Togetic']","['Banette', 'Porygon', 'Elgyem']","['Banette', 'Necrozma', 'Baltoy']","['Necrozma', 'Dusclops', 'Darmanitan Standard Mode']",0,0,0,0,0
16,Arbok,Meg,it is a purple cobra with yellow and pink markings ,"['Lilligant', 'Feraligatr', 'Throh']","['Arbok', 'Scizor', 'Dunsparce']","['Nidorino', 'Sandslash', 'Wurmple']","['Nidorino', 'Sandslash', 'Scolipede']","['Nidorino', 'Venipede', 'Carnivine']",0,1,0,0,0
17,Rattata,Meg,an angry purple rat ,"['Golisopod', 'Meltan', 'Palpitoad']","['Rattata', 'Kecleon', 'Butterfree']","['Raticate', 'Rattata', 'Ekans']","['Raticate', 'Rattata', 'Ekans']","['Rattata', 'Raticate', 'Croconaw']",0,1,1,1,1
18,Slaking,Meg, it is a sexy gorilla with a pink nose and a gray beard,"['Regice', 'Barraskewda', 'Zapdos']","['Persian', 'Nidorina', 'Snubbull']","['Stufful', 'Haxorus', 'Lickilicky']","['Haxorus', 'Bewear', 'Drampa']","['Bewear', 'Haxorus', 'Tyrunt']",0,0,0,0,0
19,Totodile,Meg,a blue baby crocodile with red spikes and yellow markings on its chest ,"['Steelix', 'Monferno', 'Beartic']","['Delibird', 'Poliwhirl', 'Wailord']","['Remoraid', 'Mudkip', 'Swampert']","['Remoraid', 'Buizel', 'Swampert']","['Remoraid', 'Accelgor', 'Yungoos']",0,0,0,0,0
20,Totodile,Brennan,blue alligator with red spikes and white sharp teeth,"['Riolu', 'Vanillish', 'Cinderace']","['Sharpedo', 'Qwilfish', 'Marill']","['Remoraid', 'Marshtomp', 'Phanpy']","['Marshtomp', 'Remoraid', 'Swampert']","['Raticate', 'Kabutops', 'Pyukumuku']",0,0,0,0,0
21,Growlithe,Brennan,orange dog with black stripes and fluffy white tail and head hair,"['Swellow', 'Dodrio', 'Sprigatito']","['Sentret', 'Ponyta', 'Azurill']","['Lopunny', 'Linoone', 'Raticate']","['Lopunny', 'Granbull', 'Lycanroc Midday Form']","['Lopunny', 'Lycanroc Midday Form', 'Lucario']",0,0,0,0,0
22,Dwebble,Brennan,orange hermit crab with brown rock-like shell,"['Shelmet', 'Mienfoo', 'Klang']","['Nidoqueen', 'Gabite', 'Geodude']","['Sandshrew', 'Gible', 'Paras']","['Grubbin', 'Ferroseed', 'Parasect']","['Grubbin', 'Parasect', 'Druddigon']",0,0,0,0,0
23,Doduo,Brennan,two headed bird with round head and round body,"['Lillipup', 'Poliwrath', 'Dhelmise']","['Crobat', 'Doduo', 'Sneasel']","['Mandibuzz', 'Dodrio', 'Zweilous']","['Mandibuzz', 'Dodrio', 'Empoleon']","['Doduo', 'Dodrio', 'Zweilous']",0,1,0,0,1
24,Tirtouga,Brennan,dark grey-blue turtle with black shell and black accents on head and fins,"['Shaymin Land Forme', 'Gengar', 'Gothitelle']","['Mantine', 'Seadra', 'Lumineon']","['Shelgon', 'Gorebyss', 'Floatzel']","['Shelgon', 'Sharpedo', 'Squirtle']","['Shelgon', 'Carracosta', 'Armaldo']",0,0,0,0,0
25,Chi-Yu,Brennan,"goldfish with fiery tail and large eyes, surrounded by circles","['Wiglett', 'Beheeyem', 'Thievul']","['Seaking', 'Pelipper', 'Goldeen']","['Horsea', 'Goldeen', 'Vulpix']","['Vulpix', 'Goldeen', 'Horsea']","['Wailord', 'Seaking', 'Goldeen']",0,0,0,0,0
26,Linoone,Brennan,"furret with arrow on forehead and brown stripes, green eyes","['Virizion', 'Avalugg', 'Cubchoo']","['Furret', 'Nidoking', 'Sentret']","['Furret', 'Gligar', 'Decidueye']","['Furret', 'Sentret', 'Lycanroc Midday Form']","['Furret', 'Bidoof', 'Liepard']",0,0,0,0,0
27,Magneton,Brennan,"three balls connected, each with two u shaped magnets and one eye","['Buneary', 'Brionne', 'Gligar']","['Magnemite', 'Beldum', 'Probopass']","['Magnemite', 'Probopass', 'Boldore']","['Magnemite', 'Probopass', 'Boldore']","['Magnemite', 'Probopass', 'Boldore']",0,0,0,0,0
28,Archeops,Brennan,"bird-like dinosaur raptor with feathery wings, reptilian claws, and a palm tree like tail","['Psyduck', 'Rayquaza', 'Girafarig']","['Cranidos', 'Kabuto', 'Anorith']","['Cranidos', 'Shieldon', 'Anorith']","['Tyrantrum', 'Cranidos', 'Aerodactyl']","['Cranidos', 'Weavile', 'Archeops']",0,0,0,0,1
29,Graveler,Brennan,"spherical rock body with face on body and four arms, two legs","['Sandy Shocks', 'Machamp', 'Breloom']","['Golem', 'Geodude', 'Rhyhorn']","['Golem', 'Geodude', 'Rhyperior']","['Rhyperior', 'Geodude', 'Golem']","['Rhyperior', 'Golem', 'Dwebble']",0,0,0,0,0
40,Scyther,Tess,green dragon fairy with scythe arms ,"['Meowstic Male', 'Skiploom', 'Swirlix']","['Scyther', 'Garchomp', 'Slowbro']","['Scyther', 'Garchomp', 'Carvanha']","['Scyther', 'Luxray', 'Yanma']","['Scyther', 'Whirlipede', 'Krookodile']",0,1,1,1,1
41,Weepinbell,Tess,yellow pitcher plant with leaf ears,"['Dragapult', 'Geodude', 'Solgaleo']","['Roselia', 'Bellsprout', ""Farfetch'd""]","['Flapple', 'Amoonguss', 'Breloom']","[""Farfetch'd"", 'Wurmple', 'Amoonguss']","['Flapple', 'Mr. Rime', 'Pawniard']",0,0,0,0,0
42,Altaria,Tess,blue bird inside a cloud,"['Phantump', 'Pansage', 'Pikachu']","['Zapdos', 'Ledian', 'Articuno']","['Omastar', 'Litwick', 'Pansage']","['Morelull', 'Enamorus Incarnate Forme', 'Skiddo']","['Enamorus Incarnate Forme', 'Eldegoss', 'Ducklett']",0,0,0,0,0
43,Togetic,Tess,small white bird with red and blue triangles (and a cute face),"['Charmeleon', 'Chandelure', 'Illumise']","['Sneasel', 'Staravia', 'Mothim']","['Wishiwashi Solo Form', 'Glameow', 'Pidove']","['Pidove', 'Glameow', 'Wishiwashi Solo Form']","['Pidove', 'Archen', 'Skiddo']",0,0,0,0,0
44,Woobat,Tess,blue fuzzy ball with one eye one tooth and bat wings ,"['Honedge', 'Blissey', 'Sizzlipede']","['Sneasel', 'Crobat', 'Mothim']","['Venonat', 'Dustox', 'Zubat']","['Scraggy', 'Drowzee', 'Whimsicott']","['Igglybuff', 'Scraggy', 'Wigglytuff']",0,0,0,0,0
45,Trapinch,Tess,orange turtle with massive head,"['Minior Meteor Form', 'Kleavor', 'Pupitar']","['Wailord', 'Sharpedo', 'Ponyta']","['Golem', 'Rhyhorn', 'Forretress']","['Golem', 'Squirtle', 'Rhyhorn']","['Squirtle', 'Pupitar', 'Golem']",0,0,0,0,0
46,Jolteon,Tess,pikachu dog,"['Rampardos', 'Exeggcute', 'Thwackey']","['Pikachu', 'Ninetales', 'Raichu']","['Pikachu', 'Raichu', 'Ninetales']","['Pikachu', 'Raichu', 'Ninetales']","['Pikachu', 'Raichu', 'Sandygast']",0,0,0,0,0
47,Omastar,Tess,blue tentacles creature with yellow cat eyes in a spiky shell,"['Cramorant', 'Blacephalon', 'Vivillon']","['Tentacruel', 'Octillery', 'Carnivine']","['Tentacruel', 'Carnivine', 'Octillery']","['Tentacruel', 'Carnivine', 'Cradily']","['Toedscruel', 'Omastar', 'Grapploct']",0,0,0,0,1
48,Cresselia,Tess,blue and yellow bird. moon shaped head.  purple saturn rings.,"['Gardevoir', 'Sableye', 'Tropius']","['Ledian', 'Cleffa', 'Starmie']","['Starmie', 'Solrock', 'Magneton']","['Starmie', 'Umbreon', 'Espeon']","['Lunatone', 'Magneton', 'Solrock']",0,0,0,0,0
49,Hitmonchan,Tess,cheerleader with boxing gloves and groot head ,"['Overqwil', 'Throh', 'Dialga']","['Hitmonchan', 'Breloom', 'Unfezant']","['Hitmonchan', 'Sawk', 'Breloom']","['Plusle', 'Hitmonchan', 'Minun']","['Plusle', 'Minun', 'Hitmonchan']",0,1,1,1,1
50,Sudowoodo,Matt,"Brown tree with five yellow spots, two arms, two legs, and three green circles on each hand","['Purugly', 'Tyranitar', 'Slowking']","['Roselia', 'Wurmple', ""Farfetch'd""]","['Starmie', 'Leafeon', 'Smoochum']","['Weepinbell', 'Trubbish', 'Croagunk']","['Cufant', 'Timburr', 'Golem']",0,0,0,0,0
51,Steelix,Matt,"Silver long snake shaped body with six steel rocks, two red eyes, five teeth, and a very large rock shaped head","['Xurkitree', 'Rockruff', 'Arrokuda']","['Sableye', 'Gabite', 'Donphan']","['Gabite', 'Sableye', 'Axew']","['Sandshrew', 'Axew', 'Silicobra']","['Avalugg', 'Kleavor', 'Bruxish']",0,0,0,0,0
52,Kecleon,Matt,"Chameleon shaped body with five spikes on each side of its head, pink body with red zig zag line on its midsection, three green claws on its hands and feet, and a large spiral shaped tail","['Terrakion', 'Dreepy', 'Tornadus Incarnate Forme']","['Sandslash', 'Paras', 'Geodude']","['Sandslash', 'Treecko', 'Victreebel']","['Aurorus', 'Weepinbell', 'Morelull']","['Druddigon', 'Seel', 'Walrein']",0,0,0,0,0
53,Duosion,Matt,"Light green body with large head and two short arms, all inside a dark green shell that has two small legs at the bottom","['Tirtouga', 'Scrafty', 'Silcoon']","['Qwilfish', 'Sandslash', 'Wurmple']","['Weepinbell', 'Shuckle', 'Salandit']","['Morelull', 'Togekiss', 'Qwilfish']","['Foongus', 'Milcery', 'Wiglett']",0,0,0,0,0
54,Cacnea,Matt,"Light green cactus shaped body with two long green arms, two short dark green legs, two small black eyes, five black semi circles below its eyes, and three large black diamonds on its midsection","['Marshadow', 'Lurantis', 'Lycanroc Midday Form']","['Weedle', 'Caterpie', 'Roselia']","['Sceptile', 'Seedot', 'Cherrim']","['Sudowoodo', 'Seedot', 'Leafeon']","['Lurantis', 'Lilligant', 'Sceptile']",0,0,0,0,0
55,Milotic,Matt,"Large snake shaped body with solid white head, red eyes and antennas, solid white body, and a tail with alternating blue and red diamond patterns separated by black border lines","['Latias', 'Stonjourner', 'Manectric']","['Dunsparce', 'Beedrill', 'Masquerain']","['Dunsparce', 'Poochyena', 'Skorupi']","['Grovyle', 'Venipede', 'Dunsparce']","['Venipede', 'Feraligatr', 'Whirlipede']",0,0,0,0,0
56,Lairon,Matt,"Large dark silver body with four short light silver legs, five large light silver scales with black circles on top of its bod, two blue eyes, and a red mouth with two sharp white bottom teeth","['Cofagrigus', 'Reshiram', 'Watchog']","['Sneasel', 'Golbat', 'Venomoth']","['Golbat', 'Feebas', 'Rattata']","['Palossand', 'Copperajah', 'Kyogre']","['Arctozolt', 'Dracovish', 'Cetoddle']",0,0,0,0,0
57,Tyranitar,Matt,"Large light green dinosaur body with several sharp scales on its back, two hands and two legs, three sharp white claws on its hands and feet, a short green tail with three spikes, a silver diamond shape on its midsection, two small black eyes, red mouth, and four sharp white teeth","['Heatran', 'Vibrava', 'Inteleon']","['Donphan', 'Nidoqueen', 'Muk']","['Magikarp', 'Feebas', 'Raticate']","['Carracosta', 'Sliggoo', 'Fraxure']","['Carracosta', 'Druddigon', 'Palossand']",0,0,0,0,0
58,Nidoking,Matt,"Large purple dinosaur body with a gray chest, reptile shaped scales, a large thick purple tail, two large aqua colored ears, two large purple arms with three gray claws, two short purple legs with gray feet, and two purple horns on its head","['Clobbopus', 'Electivire', 'Meowth']","['Vulpix', 'Crawdaunt', 'Gastrodon']","['Rattata', 'Nidoran♀', 'Raticate']","['Bouffalant', 'Chewtle', 'Bewear']","['Bouffalant', 'Cetitan', 'Scrafty']",0,0,0,0,0
59,Tynamo,Matt,"Small white fish shaped body with two large black eyes, one large red star shaped mouth, and one squiggly yellow line along the middle of its body","['Absol', 'Nuzleaf', 'Gloom']","['Shellos', 'Poliwag', 'Azumarill']","['Shellos', 'Poliwag', 'Dewgong']","['Avalugg', 'Steenee', 'Barraskewda']","['Dewgong', 'Beartic', 'Buizel']",0,0,0,0,0
60,Lanturn,Marcia,Purple and yellow dolphin with angler fish double fishing rod dangling in front. ,"['Magby', 'Trevenant', 'Pachirisu']","['Mantine', 'Lumineon', 'Golduck']","['Mantine', 'Lumineon', 'Finneon']","['Finneon', 'Lumineon', 'Seadra']","['Lumineon', 'Mantine', 'Dhelmise']",0,0,0,0,0
61,Swablu,Marcia,Blue tweety bird with cloud wings,"['Pupitar', 'Oranguru', 'Venusaur']","['Spearow', 'Crobat', 'Sneasel']","['Swablu', 'Mothim', 'Dustox']","['Swablu', 'Masquerain', 'Cutiefly']","['Swablu', 'Altaria', 'Vivillon']",0,0,1,1,1
62,Kadabra,Marcia,"Yellow, psychic, serious Pokémon holding a silver spoon. a cat with bird feet or talons  ","['Frosmoth', 'Bramblin', 'Donphan']","['Kadabra', 'Slakoth', 'Baltoy']","['Kadabra', 'Alakazam', 'Mewtwo']","['Kadabra', 'Alakazam', 'Uxie']","['Kadabra', 'Uxie', 'Alakazam']",0,1,1,1,1
63,Bonsly,Marcia,Smiling potted tree plant Pokémon with three yellow eyes ,"['Boltund', 'Ponyta', 'Rufflet']","['Sceptile', 'Tangela', 'Cherrim']","['Ledian', 'Jumpluff', 'Starmie']","['Jumpluff', 'Tangrowth', 'Ledian']","['Tangrowth', 'Tangela', 'Bounsweet']",0,0,0,0,0
64,Malamar,Marcia,Giant bird squid,"['Empoleon', 'Zapdos', 'Corsola']","['Kingdra', 'Dragonite', 'Lugia']","['Cradily', 'Omastar', 'Frillish']","['Cradily', 'Skrelp', 'Jellicent']","['Frillish', 'Omastar', 'Cosmoem']",0,0,0,0,0
65,Exeggcute,Marcia,"A group of devious battered, cracked eggs","['Bisharp', 'Slurpuff', 'Magby']","['Chansey', 'Blissey', 'Exeggcute']","['Exeggcute', 'Blissey', 'Chansey']","['Exeggcute', 'Blissey', 'Dodrio']","['Exeggcute', 'Exeggutor', 'Dodrio']",0,1,1,1,1
66,Lileep,Marcia,Purple thing with eight tongues,"['Finneon', 'Meltan', 'Shellder']","['Sandslash', 'Dunsparce', 'Pinsir']","['Sandslash', 'Nidorino', 'Lickitung']","['Sandslash', 'Garbodor', 'Feraligatr']","['Dratini', 'Haunter', 'Ninjask']",0,0,0,0,0
67,Snover,Marcia,"White, brown and green Christmas pine tree. With a snow mountain hat ","['Drilbur', 'Maractus', 'Blissey']","['Pineco', 'Vulpix', 'Hoppip']","['Snover', 'Abomasnow', 'Hoppip']","['Snover', 'Abomasnow', 'Vulpix']","['Snover', 'Abomasnow', 'Vulpix']",0,0,1,1,1
68,Metang,Marcia,Flying Space Battleship,"['Scraggy', 'Cursola', 'Grovyle']","['Arcanine', 'Doduo', 'Hypno']","['Zygarde 50% Forme', 'Dialga', 'Palkia']","['Genesect', 'Sigilyph', 'Zygarde 50% Forme']","['Deoxys Normal Forme', 'Dialga', 'Palkia']",0,0,0,0,0
69,Togepi,Marcia,Super cute happy and smiling Pokémon wearing hatched egg dress,"['Sableye', 'Vanillite', 'Mimikyu']","['Happiny', 'Marowak', 'Politoed']","['Fomantis', 'Jynx', 'Umbreon']","['Jynx', 'Fomantis', 'Shaymin Land Forme']","['Clefairy', 'Florges', 'Bellossom']",0,0,0,0,0
70,Dreepy,Ximena,"turquoise, pink ears, yellow eyes, worm like, pointy nose","['Klink', 'Klang', 'Alakazam']","['Ponyta', 'Wobbuffet', 'Nidoran♂']","['Wigglytuff', 'Herdier', 'Persian']","['Persian', 'Purugly', 'Lillipup']","['Kakuna', 'Purugly', 'Torkoal']",0,0,0,0,0
71,Amaura,Ximena,"light blue, blue eyes, dinosaur like, yellow pink ears","['Zapdos', 'Electabuzz', 'Blitzle']","['Slowpoke', 'Vulpix', 'Nidoran♂']","['Mareep', 'Wurmple', 'Phanpy']","['Dedenne', 'Pyroar', 'Blitzle']","['Lurantis', 'Noibat', 'Dedenne']",0,0,0,0,0
72,Staravia,Ximena,"bird, orange beak, orange feet, star like patterns ","['Sunkern', 'Cufant', 'Braixen']","['Skarmory', 'Wingull', 'Ho-oh']","['Pidgeot', 'Ledian', 'Ho-oh']","['Staravia', 'Fletchinder', 'Talonflame']","['Staravia', 'Starly', 'Mothim']",0,0,0,1,1
73,Lycanroc Midday Form,Ximena,"wolf, smirk, blue eyes, pointy big nails","['Quaquaval', 'Forretress', 'Ludicolo']","['Snubbull', 'Granbull', 'Persian']","['Makuhita', 'Rufflet', 'Sawk']","['Makuhita', 'Litleo', 'Torracat']","['Throh', 'Gligar', 'Mandibuzz']",0,0,0,0,0
74,Slowking,Ximena,"bright red dinosaur with grey point hat, looks nervous/timid","['Dewott', 'Duskull', 'Pansear']","['Happiny', 'Misdreavus', 'Snubbull']","['Cranidos', 'Carracosta', 'Copperajah']","['Silicobra', 'Aurorus', 'Copperajah']","['Copperajah', 'Silicobra', 'Larvitar']",0,0,0,0,0
75,Spewpa,Ximena,"weird shape, white pocket structure that holds grey head ","['Espathra', 'Iron Treads', 'Tsareena']","['Heracross', 'Arbok', 'Slowpoke']","['Surskit', 'Spinda', 'Sealeo']","['Swirlix', 'Impidimp', 'Chewtle']","['Annihilape', 'Tapu Fini', 'Darmanitan Standard Mode']",0,0,0,0,0
76,Walrein,Ximena,blue walrus with ears that have different shapes ,"['Cubchoo', 'Coalossal', 'Armaldo']","['Nidoran♂', 'Slowpoke', 'Buneary']","['Buneary', 'Nidoran♂', 'Lopunny']","['Bidoof', 'Crawdaunt', 'Bunnelby']","['Corphish', 'Raticate', 'Poliwag']",0,0,0,0,0
77,Toedscool,Ximena,"looks like an octopus with only three tentacles, light pink with big yellow dot","['Registeel', 'Sunflora', 'Shaymin Land Forme']","['Tentacool', 'Cradily', 'Gastrodon']","['Cradily', 'Omastar', 'Dratini']","['Omastar', 'Jellicent', 'Cradily']","['Grapploct', 'Omastar', 'Clobbopus']",0,0,0,0,0
78,Smeargle,Ximena,"beige animal with green tail, looks like reddish glasses ","['Braviary', 'Sinistea', 'Solrock']","['Vulpix', 'Piloswine', 'Ponyta']","['Dunsparce', 'Minccino', 'Kecleon']","['Lopunny', 'Dunsparce', 'Persian']","['Nincada', 'Kakuna', 'Bidoof']",0,0,0,0,0
79,Mewtwo,Ximena,"light pink dragon in strike pose, hands have three hoofs, pointy ears","['Makuhita', 'Dusknoir', 'Jynx']","['Ponyta', 'Rapidash', 'Sentret']","['Nidoran♂', 'Ponyta', 'Lopunny']","['Tauros', 'Arcanine', 'Mightyena']","['Arcanine', 'Tauros', 'Taillow']",0,0,0,0,0
80,Slowbro,Brad,Pink bear with hand in shell,"['Prinplup', 'Corviknight', 'Cursola']","['Cloyster', 'Corsola', 'Togepi']","['Omastar', 'Cloyster', 'Ursaring']","['Luvdisc', 'Meowth', 'Ursaring']","['Clamperl', 'Cloyster', 'Pinsir']",0,0,0,0,0
82,Sandy Shocks,Brad,A bunch of magnets that were dropped in the sand,"['Lileep', 'Heliolisk', 'Terrakion']","['Magnezone', 'Magneton', 'Magnemite']","['Magnezone', 'Magneton', 'Golem']","['Magnemite', 'Magnezone', 'Magneton']","['Magneton', 'Magnezone', 'Magnemite']",0,0,0,0,0
85,Walrein,Brad,Blue walrus,"['Shellos', 'Moltres', 'Pangoro']","['Sneasel', 'Arcanine', 'Skitty']","['Sneasel', 'Basculin Red-Striped Form', 'Weavile']","['Sneasel', 'Basculin Red-Striped Form', 'Vullaby']","['Carracosta', 'Cranidos', 'Mantyke']",0,0,0,0,0
86,Herdier,Brad,Little scotty dog,"['Floatzel', 'Chansey', 'Gourgeist Average Size']","['Slowpoke', 'Slaking', 'Skitty']","['Minccino', 'Slowpoke', 'Growlithe']","['Darumaka', 'Darmanitan Standard Mode', 'Torchic']","['Scorbunny', 'Yamper', 'Dachsbun']",0,0,0,0,0
87,Ponyta,Brad,Pony on fire,"['Umbreon', 'Pansear', 'Hatenna']","['Charizard', 'Rapidash', 'Charmeleon']","['Charmeleon', 'Charizard', 'Chimchar']","['Charmeleon', 'Rapidash', 'Pinsir']","['Charmeleon', 'Rapidash', 'Sandslash']",0,0,0,0,0
88,Infernape,Brad,Monkey on fire with knee pads,"['Regice', 'Glastrier', 'Lampent']","['Hitmonlee', 'Oricorio Baile Style', 'Monferno']","['Mienshao', 'Torchic', 'Unfezant']","['Monferno', 'Simisage', 'Torchic']","['Monferno', 'Torchic', 'Simisage']",0,0,0,0,0
90,Espeon,Ellison,"3 eyed, multi eared, multi tailed purple cat","['Silcoon', 'Stunfisk', 'Deerling']","['Ponyta', 'Crawdaunt', 'Wobbuffet']","['Nidoran♂', 'Sentret', 'Meowth']","['Nidoran♂', 'Skitty', 'Vulpix']","['Nidoran♂', 'Wartortle', 'Rattata']",0,0,0,0,0
91,Gligar,Ellison,flying winged scorpion bat,"['Deino', 'Hattrem', 'Glameow']","['Masquerain', 'Beedrill', 'Skarmory']","['Masquerain', 'Beedrill', 'Gligar']","['Beedrill', 'Sandile', 'Flygon']","['Gligar', 'Duosion', 'Rowlet']",0,0,1,0,1
92,Reuniclus,Ellison,Green goo baby with arms,"['Passimian', 'Relicanth', 'Talonflame']","[""Farfetch'd"", 'Octillery', 'Tentacruel']","['Octillery', 'Carnivine', 'Skuntank']","['Treecko', 'Garbodor', 'Goodra']","['Victreebel', 'Garbodor', 'Goodra']",0,0,0,0,0
93,Yamask,Ellison,Scary masked octopus,"['Slugma', 'Ceruledge', 'Cloyster']","['Mimikyu', 'Shuppet', 'Urshifu Single Strike Style']","['Kartana', 'Type: Null', 'Incineroar']","['Woobat', 'Accelgor', 'Incineroar']","['Grapploct', 'Kartana', 'Lokix']",0,0,0,0,0
